VOTER_ID,D3
84508,44.61859979101359
35758,58.27464788732394
32007,42.67990074441687
631210,71.31336405529954
154033,71.31336405529954
375079,35.57993730407524
200717,71.31336405529954
225667,34.88745980707396
467628,63.593380614657214
53378,63.593380614657214
323294,25.74074074074074
465951,34.88745980707396
106331,44.61859979101359
53164,25.74074074074074
454107,42.67990074441687
273143,71.31336405529954
99289,42.67990074441687
61911,63.593380614657214
133636,34.88745980707396
89809,71.31336405529954
28010,25.74074074074074
24833,44.61859979101359
192074,44.61859979101359
408338,44.61859979101359
86341,63.593380614657214
421461,71.31336405529954
143240,34.88745980707396
483688,44.61859979101359
326803,63.593380614657214
516552,44.61859979101359
267555,44.61859979101359
192730,44.61859979101359
136575,63.593380614657214
353137,63.593380614657214
552197,35.57993730407524
392613,34.88745980707396
497814,71.31336405529954
504713,58.27464788732394
314528,25.74074074074074
153399,71.31336405529954
236647,35.57993730407524
423223,42.67990074441687
113934,63.593380614657214
481906,25.74074074074074
79991,35.57993730407524
297381,42.67990074441687
438930,71.31336405529954
483899,58.27464788732394
302021,71.31336405529954
224898,44.61859979101359
212594,71.31336405529954
255832,34.88745980707396
613599,44.61859979101359
292906,44.61859979101359
494414,35.57993730407524
348456,34.88745980707396
316017,44.61859979101359
269025,35.57993730407524
526184,44.61859979101359
241387,44.61859979101359
184797,58.27464788732394
546151,44.61859979101359
207948,44.61859979101359
162648,71.31336405529954
17827,58.27464788732394
237553,42.67990074441687
420171,63.593380614657214
287009,42.67990074441687
246996,35.57993730407524
544163,34.88745980707396
411804,25.74074074074074
432020,25.74074074074074
270960,35.57993730407524
36317,58.27464788732394
433290,44.61859979101359
433807,63.593380614657214
175889,42.67990074441687
72836,71.31336405529954
216011,58.27464788732394
114064,35.57993730407524
477233,63.593380614657214
210787,44.61859979101359
138217,71.31336405529954
264627,34.88745980707396
293187,63.593380614657214
185373,34.88745980707396
493774,44.61859979101359
145222,63.593380614657214
182989,35.57993730407524
7255,63.593380614657214
592150,63.593380614657214
492741,71.31336405529954
185285,63.593380614657214
619130,71.31336405529954
120621,44.61859979101359
369119,63.593380614657214
234894,44.61859979101359
261739,71.31336405529954
356457,34.88745980707396
175162,71.31336405529954
32270,25.74074074074074
503733,25.74074074074074
378654,42.67990074441687
16872,63.593380614657214
191786,63.593380614657214
496444,58.27464788732394
613337,71.31336405529954
165850,63.593380614657214
216762,35.57993730407524
